COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Chipotle Mexican Grill,6/19/15,Tom,,$28B,$615.31 ,64.30%,62.70%,1.60%,CMG is in your Favorites
,CMG,,,,,,,,,
,Nasdaq,5/15/15,David,12,$19B,$46.34 ,156.40%,62.00%,94.40%,Add NDAQ to your Favorites
,NDAQ,,,,,,,,,
,Jefferies Financial Group Inc. and Spectrum Brands Corporate Action Details,4/17/15,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,-20.10%,65.60%,-85.60%,N/A Corporate Action Details
,JEF SPB,,,,,,,,,
,Casey's General Stores,4/17/15,David,9,$6B,$83.44 ,86.60%,65.60%,21.00%,Add CASY to your Favorites
,CASY,,,,,,,,,
,RH,3/20/15,David,14,$5B,$93.75 ,166.80%,63.60%,103.20%,Add RH to your Favorites
,RH,,,,,,,,,
,Facebook,2/20/15,Tom,,$680B,$79.90 ,198.90%,63.70%,135.20%,Add FB to your Favorites
,FB Starter,,,,,,,,,
,XPO Logistics,1/16/15,Tom,,$7B,$37.56 ,110.80%,71.50%,39.30%,Add XPO to your Favorites
,XPO,,,,,,,,,
,RPM International,1/16/15,David,13,$10B,$40.71 ,85.30%,71.50%,13.80%,Add RPM to your Favorites
,RPM,,,,,,,,,
,Interactive Brokers,12/19/14,Tom,,$17B,$27.63 ,50.40%,67.40%,-17.10%,Add IBKR to your Favorites
,IBKR,,,,,,,,,
,Activision Blizzard,12/19/14,David,10,$59B,$19.38 ,295.20%,67.40%,227.80%,Add ATVI to your Favorites
,ATVI,,,,,,,,,
,Markel,10/17/14,Tom,,$13B,$647.00 ,43.90%,84.50%,-40.60%,Add MKL to your Favorites
,MKL,,,,,,,,,
,McCormick,10/17/14,David,10,$23B,$60.81 ,183.20%,84.50%,98.70%,Add MKC to your Favorites
,MKC,,,,,,,,,
,Cognizant Technology Solutions,9/19/14,Tom,,$29B,$43.37 ,24.90%,73.40%,-48.50%,Add CTSH to your Favorites
,CTSH,,,,,,,,,
,Nordstrom,9/19/14,David,18,$3B,$54.50 ,-68.70%,73.40%,-142.00%,Add JWN to your Favorites
,JWN,,,,,,,,,
,Booking Holdings,8/15/14,Tom,,$67B,"$1,270.12 ",28.10%,78.60%,-50.50%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,Sierra Wireless,8/15/14,David,15,$460M,$23.52 ,-60.50%,78.60%,-139.10%,Add SWIR to your Favorites
,SWIR,,,,,,,,,
,Criteo,7/18/14,Tom,,$770M,$32.11 ,-61.20%,76.80%,-138.00%,Add CRTO to your Favorites
,CRTO Hold,,,,,,,,,
,Idexx Laboratories,7/18/14,David,8,$27B,$65.62 ,379.50%,76.80%,302.70%,Add IDXX to your Favorites
,IDXX Starter,,,,,,,,,
,Sherwin-Williams,6/20/14,Tom,,$48B,$192.22 ,204.20%,78.40%,125.70%,Add SHW to your Favorites
,SHW,,,,,,,,,
,Cognex,6/20/14,David,8,$10B,$18.55 ,206.40%,78.40%,128.00%,Add CGNX to your Favorites
,CGNX,,,,,,,,,
,Lions Gate Entertainment Corporation Class B and Lions Gate Entertainment Corporation Class A Corporate Action Details,5/16/14,David,18,N/A Corporate Action Details,N/A Corporate Action Details,-71.30%,86.90%,-158.20%,N/A Corporate Action Details
,LGF.B LGF.A,,,,,,,,,
,Core Laboratories,4/17/14,Tom,,$867M,$187.70 ,-89.60%,88.60%,-178.20%,Add CLB to your Favorites
,CLB,,,,,,,,,
,Carter's,4/17/14,David,12,$4B,$67.21 ,25.40%,88.60%,-63.20%,Add CRI to your Favorites
,CRI,,,,,,,,,
,Littelfuse,3/21/14,David,12,$4B,$90.51 ,82.70%,88.60%,-6.00%,Add LFUS to your Favorites
,LFUS,,,,,,,,,
,CVS Health,2/21/14,David,10,$84B,$61.62 ,4.70%,92.00%,-87.40%,Add CVS to your Favorites
,CVS,,,,,,,,,
,Jefferies Financial Group Inc. and Spectrum Brands Corporate Action Details,1/17/14,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,-34.20%,92.20%,-126.50%,N/A Corporate Action Details
,JEF SPB,,,,,,,,,
,Cboe Global Markets Inc,1/17/14,David,6,$11B,$45.88 ,115.20%,92.20%,23.00%,Add CBOE to your Favorites
,CBOE,,,,,,,,,
