COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,PANW,,,,,,,,,
,NuVasive,3/26/14,16,$3B,$52.97 ,$37.23 ,47.40%,87.10%,-39.80%,Add NUVA to your Favorites
,NUVA,,,,,,,,,
,Zillow Group (A shares) and Zillow Group (C shares) Corporate Action Details,2/26/14,14,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,110.80%,88.10%,22.60%,N/A Corporate Action Details
,ZG Z,,,,,,,,,
,Ubiquiti Inc.,1/22/14,9,$11B,$168.87 ,$42.78 ,289.60%,88.60%,201.00%,Add UI to your Favorites
,UI,,,,,,,,,
,Twitter,12/18/13,8,$25B,$31.37 ,$55.51 ,-42.80%,92.50%,-135.30%,Add TWTR to your Favorites
,TWTR,,,,,,,,,
,Ionis Pharmaceuticals,11/27/13,11,$8B,$61.05 ,$39.28 ,50.50%,93.10%,-42.60%,Add IONS to your Favorites
,IONS,,,,,,,,,
,Yelp,11/27/13,13,$2B,$22.21 ,$61.54 ,-62.80%,93.10%,-155.80%,Add YELP to your Favorites
,YELP,,,,,,,,,
,Middleby,10/23/13,15,$4B,$75.13 ,$74.88 ,1.70%,100.30%,-98.60%,Add MIDD to your Favorites
,MIDD,,,,,,,,,
,CoStar Group,9/25/13,8,$27B,$706.23 ,$164.78 ,319.60%,106.90%,212.70%,Add CSGP to your Favorites
,CSGP,,,,,,,,,
,Alnylam Pharmaceuticals,7/24/13,13,$18B,$156.44 ,$44.95 ,237.60%,108.60%,129.00%,Add ALNY to your Favorites
,ALNY,,,,,,,,,
,Sirius XM Radio Corporate Action Details,6/26/13,8,$25B,$5.82 ,$12.23 ,-52.50%,119.60%,-172.10%,Add SIRI to your Favorites
,SIRI,,,,,,,,,
,Chart Industries,6/26/13,13,$1B,$41.60 ,$91.36 ,-56.00%,119.60%,-175.60%,Add GTLS to your Favorites
,GTLS,,,,,,,,,
,"Axos Financial, Inc.",5/22/13,11,$1B,$20.28 ,$9.81 ,105.20%,113.10%,-7.90%,Add AX to your Favorites
,AX,,,,,,,,,
,Seattle Genetics,4/24/13,13,$29B,$167.86 ,$36.53 ,351.10%,123.90%,227.20%,Add SGEN to your Favorites
,SGEN,,,,,,,,,
,Middleby,3/27/13,15,$4B,$75.13 ,$50.19 ,51.70%,126.50%,-74.80%,Add MIDD to your Favorites
,MIDD,,,,,,,,,
,Equinix,3/27/13,12,$61B,$696.84 ,$175.92 ,292.00%,126.50%,165.60%,Add EQIX to your Favorites
,EQIX,,,,,,,,,
,Bristol Myers Squibb Corporate Action Details,2/27/13,13,$131B,$58.18 ,$26.96 ,119.00%,133.80%,-14.80%,Add BMY to your Favorites
,BMY,,,,,,,,,
,Intuitive Surgical,1/23/13,7,$65B,$555.11 ,$189.02 ,193.60%,137.80%,55.80%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,"Interface, Inc.",12/19/12,14,$441M,$7.59 ,$14.52 ,-48.10%,148.00%,-196.00%,Add TILE to your Favorites
,TILE,,,,,,,,,
